Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
MILFORDMA.GOV,City,Non-Federal Agency,Town of Milford,Milford,MA,(blank)
MILFORDNE.GOV,City,Non-Federal Agency,City of Milford,Milford,NE,(blank)
MILLBURYMA.GOV,City,Non-Federal Agency,Town of Millbury,Millbury,MA,helpdesk@worldband.com
MILLCREEKWA.GOV,City,Non-Federal Agency,City of Mill Creek,Mill Creek,WA,support@cityofmillcreek.com
MILLIKENCO.GOV,City,Non-Federal Agency,Town of Milliken,Milliken,CO,(blank)
MILLIKENCOLORADO.GOV,City,Non-Federal Agency,Town of Milliken,Milliken,CO,(blank)
MILLINGTONTN.GOV,City,Non-Federal Agency,"City of Millington, Tennessee",Millington,TN,(blank)
MILLISMA.GOV,City,Non-Federal Agency,Town of Millis Massachusetts,Millis,MA,jdonovan@millisma.gov
MILLSTONENJ.GOV,City,Non-Federal Agency,Township of Millstone,Millstone,NJ,(blank)
MILLSWY.GOV,City,Non-Federal Agency,Town of Mills,Mills,WY,admin@millswy.gov
MILLVILLENJ.GOV,City,Non-Federal Agency,City of Millville,Millville,NJ,(blank)
MILLWOODWA.GOV,City,Non-Federal Agency,City of Millwood,Millwood,WA,support@datapronw.com
MILNERGA.GOV,City,Non-Federal Agency,City of Milner,Milner,GA,abuse.milnerga@gmail.com
MILPITAS.GOV,City,Non-Federal Agency,City of Milpitas,Milpitas,CA,operations@ci.milpitas.ca.gov
MILTON-FREEWATER-OR.GOV,City,Non-Federal Agency,City of Milton-Freewater,Milton-Freewater,OR,Jeremy.Lasater@imesd.k12.or.us
MILTON-WI.GOV,City,Non-Federal Agency,"City of Milton, Wisconsin",Milton,WI,trever@ignatek.com
MILTONGA.GOV,City,Non-Federal Agency,City of MIlton,Milton,GA,securitysupport@interdev.com
MILTONTWPMI.GOV,City,Non-Federal Agency,Milton Township,Niles,MI,supervisor@miltontwp.org
MILTONVT.GOV,City,Non-Federal Agency,"Town of Milton, Vermont",Milton,VT,(blank)
MILWAUKEE.GOV,City,Non-Federal Agency,City of Milwaukee,Milwaukee,WI,jsiett@milwaukee.gov
MILWAUKIEOREGON.GOV,City,Non-Federal Agency,City of Milwaukie,Milwaukie,OR,gillb@milwaukieoregon.gov
MINCO-OK.GOV,City,Non-Federal Agency,City of Minco,Minco,OK,(blank)
MINEOLA-NY.GOV,City,Non-Federal Agency,City of Mineola,Mineola,NY,(blank)
MINERALWELLSTX.GOV,City,Non-Federal Agency,City of Mineral Wells,Mineral Wells,TX,cityclerks@mineralwellstx.gov
MINERSVILLEPA.GOV,City,Non-Federal Agency,Minersville Borough,Minersville,PA,support@nerdyit.com
MINNEAPOLIS-MN.GOV,City,Non-Federal Agency,City of Minneapolis,Minneapolis,MN,(blank)
MINNEAPOLISMN.GOV,City,Non-Federal Agency,City of Minneapolis,Minneapolis,MN,(blank)
MINNETONKA-MN.GOV,City,Non-Federal Agency,City of Minnetonka,Minnetonka,MN,(blank)
MINNETONKAMN.GOV,City,Non-Federal Agency,City of Minnetonka,Minnetonka,MN,(blank)
MINTHILL.GOV,City,Non-Federal Agency,Town of Mint Hill,Mint Hill,NC,vapostu@compunetworld.net
MIRAMAR-FL.GOV,City,Non-Federal Agency,City of Miramar,Miramar,FL,(blank)
MIRAMARFL.GOV,City,Non-Federal Agency,The City of Miramar,Miramar,FL,babrewster@miramarfl.gov
MISSIONHILLSKS.GOV,City,Non-Federal Agency,"City of Mission Hills, KS",Mission Hills,KS,(blank)
MISSOURICITYTEXAS.GOV,City,Non-Federal Agency,"City of Missouri City, Texas",Missouri City,TX,(blank)
MISSOURICITYTX.GOV,City,Non-Federal Agency,City of Missouri City,Missouri City,TX,mwolf@missouricitytx.gov
MITCHELL-IN.GOV,City,Non-Federal Agency,City of Mitchell,Mitchell,IN,jfrank@myremc.coop
MLTWA.GOV,City,Non-Federal Agency,City of Mountlake Terrace,Mountlake Terrace,WA,(blank)
MOCKSVILLENC.GOV,City,Non-Federal Agency,Town of Mocksville,Mocksville,NC,(blank)
MODESTOCA.GOV,City,Non-Federal Agency,City of Modesto Information Technology,Modesto,CA,(blank)
MONCKSCORNERSC.GOV,City,Non-Federal Agency,TOWN OF MONCKS CORNER,MONCKS CORNER,SC,mo.ibrahim@monckscornersc.gov
MONDOVIWI.GOV,City,Non-Federal Agency,City of Mondovi,Mondovi,WI,security@mondoviwi.gov
MONMOUTHMAINE.GOV,City,Non-Federal Agency,Town of Monmouth,Monmouth,ME,townmanager@monmouthme.org
MONROECT.GOV,City,Non-Federal Agency,TOWN OF MONROE,Monroe,CT,accounts@monroeps.org
MONROEGA.GOV,City,Non-Federal Agency,City of Monroe,Monroe,GA,webmaster@monroega.gov
MONROEMI.GOV,City,Non-Federal Agency,City of Monroe,Monroe,MI,(blank)
MONROETWP-OH.GOV,City,Non-Federal Agency,Monroe Township,Bethel,OH,CForder@monroetwp-oh.gov
MONROEVILLEAL.GOV,City,Non-Federal Agency,CITY OF MONROEVILLE,Monroeville,AL,(blank)
MONROEWA.GOV,City,Non-Federal Agency,City of Monroe,Monroe,WA,(blank)
MONSON-MA.GOV,City,Non-Federal Agency,Town of Monson,Monson,MA,(blank)
MONTAGUE-MA.GOV,City,Non-Federal Agency,Town of Montague,Turners Falls,MA,(blank)
MONTCLAIRCA.GOV,City,Non-Federal Agency,City of Montclair,Montclair,CA,abuse@cityofmontclair.org
MONTEBELLOCA.GOV,City,Non-Federal Agency,City of Montebello,Montebello,CA,ithelpdesk@cityofmontebello.com
MONTEREYMA.GOV,City,Non-Federal Agency,Town of Monterey,Monterey,MA,(blank)
MONTGOMERYAL.GOV,City,Non-Federal Agency,City of Montgomery,Montgomery,AL,(blank)
MONTGOMERYMA.GOV,City,Non-Federal Agency,Town of Montgomery,Montgomery,MA,(blank)
MONTGOMERYNJ.GOV,City,Non-Federal Agency,Township of Montgomery,Belle Mead,NJ,jferrara@police.montgomery.nj.us
MONTGOMERYOHIO.GOV,City,Non-Federal Agency,City of Montgomery,Montgomery,OH,mvanderhorst@montgomeryohio.org
MONTGOMERYTEXAS.GOV,City,Non-Federal Agency,City of Montgomery,Montgomery,TX,jguptill@ocscorp.com
MONTGOMERYWV.GOV,City,Non-Federal Agency,City of Montgomery,Montgomery,WV,TBAKER@MONTGOMERYWV.GOV
MONTICELLOIN.GOV,City,Non-Federal Agency,"The City of Monticello, Indiana",Monticello,IN,(blank)
MONTICELLOKY.GOV,City,Non-Federal Agency,City of Monticello,Monticello,KY,traciesexton72@gmail.com
MONTREALWI.GOV,City,Non-Federal Agency,The City of Montreal,Montreal,WI,cityofmontreal@outlook.com
MOODYALABAMA.GOV,City,Non-Federal Agency,City of Moody,Moody,AL,tpatterson@moodyalabama.gov
MOODYTX.GOV,City,Non-Federal Agency,"City of Moody, Texas",Moody,TX,(blank)
MOORESVILLENC.GOV,City,Non-Federal Agency,Town of Mooresville,Mooresville,NC,(blank)
MOORHEADMN.GOV,City,Non-Federal Agency,City of Moorhead,Moorhead,MN,sysadmin@ci.moorhead.mn.us
MOORPARKCA.GOV,City,Non-Federal Agency,City of Moorpark,Moorpark,CA,(blank)
MOREHEAD-KY.GOV,City,Non-Federal Agency,"City of Morehead, KY",Morehead,KY,(blank)
MORGANTONNC.GOV,City,Non-Federal Agency,City of Morganton,Morganton,NC,mis@morgantonnc.gov
MORGANTOWNKY.GOV,City,Non-Federal Agency,City of Morgantown,Morgantown,KY,womackweb@gmail.com
MORGANTOWNWV.GOV,City,Non-Federal Agency,City of Morgantown,Morgantown,WV,tpovroznik@morgantownwv.gov
MORIARTYNM.GOV,City,Non-Federal Agency,The City of Moriarty,Moriarty,NM,(blank)
MORNINGSIDEMD.GOV,City,Non-Federal Agency,Town of Morningside,Morningside,MD,(blank)
MORROBAYCA.GOV,City,Non-Federal Agency,City of Morro Bay,Morro Bay,CA,jgemma@gemmasys.com
MORROWGA.GOV,City,Non-Federal Agency,City of Morrow,Morrow,GA,vtran@cityofmorrow.com
MORTON-IL.GOV,City,Non-Federal Agency,"City of Morton, IL",Morton,IL,cloudermilk@morton-il.gov
MORTONMSPD.GOV,City,Non-Federal Agency,City of Morton MS Police Department,MOrton,MS,abuse@MORTONMSPD.GOV
MOSELWI.GOV,City,Non-Federal Agency,Town of Mosel,Sehboygan,WI,support@pros4technology.com
MOULTONBOROUGHNH.GOV,City,Non-Federal Agency,Town of Moultonborough,Moultonborough,NH,(blank)
MOUNTAINAIRNM.GOV,City,Non-Federal Agency,Town of Mountainair,Mountainair,NM,(blank)
MOUNTAINGROVEMO.GOV,City,Non-Federal Agency,City of Mountain Grove,Mountain Grove,MO,rmacleod@inhousetech.net
MOUNTAINHOUSECA.GOV,City,Non-Federal Agency,Mountain House Community Services District,Mountain House,CA,(blank)
MOUNTAINVIEW.GOV,City,Non-Federal Agency,City of Mountain View,Mountain View,CA,(blank)
MOUNTAIRYMD.GOV,City,Non-Federal Agency,Town of Mount Airy,Mount Airy,MD,(blank)
MOUNTCARMELTN.GOV,City,Non-Federal Agency,Town of Mount Carmel,Mount Carmel,TN,tammy.conner@mountcarmeltn.gov
MOUNTCLEMENS.GOV,City,Non-Federal Agency,City of Mount Clemens,MOUNT CLEMENS,MI,info@cityofmountclemens.com
MOUNTKISCONY.GOV,City,Non-Federal Agency,Village of Mount Kisco,Mount Kisco,NY,(blank)
MOUNTPOCONO-PA.GOV,City,Non-Federal Agency,Mount Pocono Borough,Mount Pocono,PA,(blank)
MOUNTVERNONIN.GOV,City,Non-Federal Agency,City of Mount Vernon,Mount Vernon,IN,swillis@mountvernon-in.com
MOUNTVERNONWA.GOV,City,Non-Federal Agency,City of Mount Vernon,Mount Vernon,WA,scottw@mountvernonwa.gov
MOUNTWASHINGTON-MA.GOV,City,Non-Federal Agency,Town of Mount Washington,Mount Washington,MA,jebrong@townofmtwashington.com
MOVAL.GOV,City,Non-Federal Agency,City of Moreno Valley,Moreno Valley,CA,abuse@moval.org
MSVFL.GOV,City,Non-Federal Agency,Miami Shores Village,Miami Shores,FL,(blank)
MTANGEL.GOV,City,Non-Federal Agency,City of Mt. Angel,Mt. Angel,OR,mdaniel@ci.mt-angel.or.us
MTJULIET-TN.GOV,City,Non-Federal Agency,City of Mt Juliet,Mt Juliet,TN,(blank)
MTPLEASANT-TN.GOV,City,Non-Federal Agency,City of Mount Pleasant,Mount Pleasant,TN,(blank)
MTPLEASANTWI.GOV,City,Non-Federal Agency,Village of Mount Pleasant,Mount Pleasant,WI,(blank)
MTSHASTACA.GOV,City,Non-Federal Agency,City of Mt Shasta,Mt. Shasta,CA,sean@garlandtech.net
MTVERNONLISBONPD-IA.GOV,City,Non-Federal Agency,Mount Vernon-Lisbon Police Department,Mount Vernon,IA,mvpd@mtvernonlisbonpd-ia.gov
MTWOLFPA.GOV,City,Non-Federal Agency,Mount Wolf Borough,Mount Wolf,PA,webmaster@mtwolfborough.com
MU-WI.GOV,City,Non-Federal Agency,City of Marshfield - Marshfield Utilities,Marshfield,WI,muit@marshfieldutilities.org
MUHLENBERGTWPPA.GOV,City,Non-Federal Agency,MUHLENBERG TOWNSHIP,READING,PA,(blank)
MUKILTEOWA.GOV,City,Non-Federal Agency,City of Mukilteo,Mukilteo,WA,thenigin@mukilteowa.gov
MULLETT-TOWNSHIPMI.GOV,City,Non-Federal Agency,Mullett Township,Topinabee,MI,kps@shumakergroup.com
MUNDELEIN-IL.GOV,City,Non-Federal Agency,Village of Mundelein,Mundelein,IL,(blank)
MUNDYTWP-MI.GOV,City,Non-Federal Agency,Charter Township of Mundy,Swartz Creek,MI,chad.young@mundytwp-mi.gov
MUNFORDTN.GOV,City,Non-Federal Agency,City of Munford,Munford,TN,bmeredith@munford.com
MURFREESBOROTN.GOV,City,Non-Federal Agency,City of Murfreesboro,Murfreesboro,TN,mjarratt@murfreesborotn.gov
MURPHYSBORO-IL.GOV,City,Non-Federal Agency,City of Murphysboro,Murphysboro,IL,bsmanwaring@murphysboro.com
MURRAYKY.GOV,City,Non-Federal Agency,City of Murray,Murray,KY,security@murrayky.gov
MURRIETACA.GOV,City,Non-Federal Agency,City of Murrieta,Murrieta,CA,(blank)
MUSCATINEIOWA.GOV,City,Non-Federal Agency,City of Muscatine,Muscatine,IA,(blank)
MUSKEGON-MI.GOV,City,Non-Federal Agency,CIty of Muskegon,Muskegon,MI,HelpDesk@shorelinecity.com
MUSTANGRIDGETX.GOV,City,Non-Federal Agency,City of Mustang Ridge,Mustang Ridge,TX,ccantumustangridge@gmail.com
MUTTONTOWNNY.GOV,City,Non-Federal Agency,Village of Muttontown,Muttontown,NY,jrusso@muttontownny.gov
MVPD.GOV,City,Non-Federal Agency,City of Mountain View,Mountain View,CA,steve.rodriguez@mountainview.gov
MWMOPD.GOV,City,Non-Federal Agency,Merriam Woods Police Department,Merriam Woods,MO,info@mwmopd.org
MWTOWN.GOV,City,Non-Federal Agency,Town of Manitowish Waters,Manitowish Waters,WI,townchair@mwtown.org
MYARLINGTONTX.GOV,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov
MYCOLUMBUS.GOV,City,Non-Federal Agency,City of Columbus Ohio,Columbus,OH,(blank)
MYDELRAYBEACHFL.GOV,City,Non-Federal Agency,City of Delray Beach,Delray Beach,FL,(blank)
NAGSHEADNC.GOV,City,Non-Federal Agency,The Town of Nags Head,Nags Head,NC,help@shoshintech.com
NANTUCKET-MA.GOV,City,Non-Federal Agency,Town of Nantucket,Nantucket,MA,(blank)
NAPLESCITYUT.GOV,City,Non-Federal Agency,Naples City,Naples,UT,(blank)
NARBERTHPA.GOV,City,Non-Federal Agency,Narberth Borough,Narberth,PA,(blank)
NARRAGANSETTRI.GOV,City,Non-Federal Agency,Town of Narragansett,Narragansett,RI,(blank)
NASHOTAH-WI.GOV,City,Non-Federal Agency,Village of Nashotah,Nashotah,WI,chris.pinkowski@rasmith.com
NASHUANH.GOV,City,Non-Federal Agency,City of Nashua,Nashua,NH,nashuait@nashuanh.gov
NASHVILLE.GOV,City,Non-Federal Agency,"Metropolitan Government of Nashville & Davidson County, Tennessee",Nashville,TN,dnsadmin1@nashville.gov
NASHVILLENC.GOV,City,Non-Federal Agency,TOWN OF NASHVILLE,NASHVILLE,NC,(blank)
NASHVILLESHERIFF.GOV,City,Non-Federal Agency,Metropolitan Government of Nashville & Davidson County,Nashville,TN,john.griffey@nashville.gov
NATCHITOCHESLA.GOV,City,Non-Federal Agency,City of Natchitoches,Natchitoches,LA,(blank)
NATICKMA.GOV,City,Non-Federal Agency,Town of Natick,Natick,MA,atamay@natickma.org
NATIONALCITYCA.GOV,City,Non-Federal Agency,City of National City,National City,CA,(blank)
NAUGATUCK-CT.GOV,City,Non-Federal Agency,Borough of Naugatuck,Naugatuck,CT,(blank)
NAVASOTATX.GOV,City,Non-Federal Agency,City of Navasota,Navasota,TX,hmai@navasotatx.gov
NAZARETHBOROUGHPA.GOV,City,Non-Federal Agency,Borough of Nazareth,Nazareth,PA,(blank)
NBCA.GOV,City,Non-Federal Agency,City of Newport Beach,Newport Beach,CA,mwojo@newportbeachca.gov
NEBRASKACITYNE.GOV,City,Non-Federal Agency,"City of Nebraska City, Nebraska",Nebraska City,NE,(blank)
NEEDHAMMA.GOV,City,Non-Federal Agency,TOWN OF NEEDHAM,NEEDHAM,MA,itc@needhamma.gov
NEENAHWI.GOV,City,Non-Federal Agency,CITY OF NEENAH,NEENAH,WI,ISDEPT@ci.neenah.wi.us
NEHALEM.GOV,City,Non-Federal Agency,City of Nehalem,Nehalem,OR,(blank)
NELSONVILLENY.GOV,City,Non-Federal Agency,Village of Nelsonville,Nelsonville,NY,(blank)
NESHKOROWI.GOV,City,Non-Federal Agency,Village of Neshkoro,Neshkoro,WI,support@townweb.com
NETTLETONMS.GOV,City,Non-Federal Agency,City of Nettleton,Nettleton,MS,baulch@bellsouth.net
NEVADACITYCA.GOV,City,Non-Federal Agency,City of Nevada City,Nevada City,CA,(blank)
NEVADAMO.GOV,City,Non-Federal Agency,City of Nevada,Nevada,MO,(blank)
NEWARKDE.GOV,City,Non-Federal Agency,City of Newark,Newark,DE,italerts@newark.de.us
NEWARKNJ.GOV,City,Non-Federal Agency,City of Newark,newark,NJ,(blank)
NEWARKOHIO.GOV,City,Non-Federal Agency,"City of Newark, Ohio",Newark,OH,support@alink.com
NEWBEDFORD-MA.GOV,City,Non-Federal Agency,City of New Bedford,New Bedford,MA,(blank)
NEWBERGOREGON.GOV,City,Non-Federal Agency,City of Newberg,Newberg,OR,(blank)
NEWBERLINWI.GOV,City,Non-Federal Agency,City of New Berlin,New Berlin,WI,itwebsecurity@newberlin.org
NEWBERNNC.GOV,City,Non-Federal Agency,City of New Bern,New Bern,NC,(blank)
NEWBERRYFL.GOV,City,Non-Federal Agency,City of Newberry,Newberry,FL,techs@jmcoit.com
NEWBERRYMI.GOV,City,Non-Federal Agency,Village of Newberry,Newberry Village,MI,(blank)
NEWBOLDWI.GOV,City,Non-Federal Agency,Town of Newbold,Lake Tomahawk,WI,dkroll@newboldtown.com
NEWBOSTONNH.GOV,City,Non-Federal Agency,Town of New Boston,New Boston,NH,(blank)
NEWBRAUNFELS.GOV,City,Non-Federal Agency,City of New Braunfels,New Braunfels,TX,tgonzalez@nbtexas.org
NEWBRIGHTONMN.GOV,City,Non-Federal Agency,City of New Brighton,New Brighton,MN,webmaster@newbrightonmn.gov
NEWBRITAINCT.GOV,City,Non-Federal Agency,City of New Britain Connecticut,New Britain,CT,(blank)
NEWBURGH-IN.GOV,City,Non-Federal Agency,Town of Newburgh Indiana,Newburgh,IN,dennis.stoen@pcquest.net
NEWBURGH-OH.GOV,City,Non-Federal Agency,Village of Newburgh Heights,Newburgh Heights,OH,(blank)
NEWCANAANCT.GOV,City,Non-Federal Agency,Town of New Canaan,New Canaan,CT,(blank)
NEWCARLISLEOHIO.GOV,City,Non-Federal Agency,City of New Carlisle,New Carlisle,OH,help.desk@bridge-group.org
NEWCARROLLTONMD.GOV,City,Non-Federal Agency,City of New Carrollton,New Carrollton,MD,(blank)
NEWCASTLEOK.GOV,City,Non-Federal Agency,City of Newcastle,Newcastle,OK,domains@cityofnewcastleok.com
NEWCASTLEPA.GOV,City,Non-Federal Agency,City of New Castle,New Castle,PA,(blank)
NEWCASTLEWA.GOV,City,Non-Federal Agency,City of Newcastle,Newcastle,WA,(blank)
NEWCHICAGOIN.GOV,City,Non-Federal Agency,Town of New Chicago,Hobart,IN,(blank)
NEWCOMBNY.GOV,City,Non-Federal Agency,Town of Newcomb,Newcomb,NY,domain@newcombny.com
NEWCONCORD-OH.GOV,City,Non-Federal Agency,Village of New Concord,New Concord,OH,lmarlatt@newconcord-oh.gov
NEWDURHAMNH.GOV,City,Non-Federal Agency,Town of New Durham,NewDurham,NH,tech@lakesregioncomputer.com
NEWFIELDSNH.GOV,City,Non-Federal Agency,Town of Newfields,Newfields,NH,(blank)
NEWGLARUSVILLAGEWI.GOV,City,Non-Federal Agency,Village of New Glarus,New Glarus,WI,security@newglarusvillagewi.gov
NEWHARMONY-IN.GOV,City,Non-Federal Agency,Town of New Harmony,New Harmony,IN,karla_atkins@att.net
NEWHARTFORDCT.GOV,City,Non-Federal Agency,Town of New Hartford,New Hartford,CT,(blank)
NEWHAVENCT.GOV,City,Non-Federal Agency,City of New Haven Connecticut,New Haven,CT,rvalli@newhavenct.gov
NEWHOPEMN.GOV,City,Non-Federal Agency,City of New Hope,New Hope,MN,networkservices@logis.org
NEWHOPETX.GOV,City,Non-Federal Agency,Town of New Hope,New Hope,TX,(blank)
NEWINGTONCT.GOV,City,Non-Federal Agency,Town of Newington,Newington,CT,security@newingtonct.gov
NEWLEXINGTONOHIO.GOV,City,Non-Federal Agency,Village of New Lexington,New Lexington,OH,finance@newlexingtonohio.gov
NEWLONDONWI.GOV,City,Non-Federal Agency,City of New London WI,New London,WI,(blank)
NEWMARKETNH.GOV,City,Non-Federal Agency,Town of Newmarket,Newmarket,NH,support@bbnnh.com
NEWMARLBOROUGHMA.GOV,City,Non-Federal Agency,Town of New Marlborough,Mill River,MA,(blank)
NEWMILFORDCT.GOV,City,Non-Federal Agency,Town of New Milford,New Milford,CT,it@newmilford.org
NEWNANGA.GOV,City,Non-Federal Agency,"City of Newnan, Georgria",Newnan,GA,(blank)
NEWORLEANSLA.GOV,City,Non-Federal Agency,City of New Orleans,New Orleans,LA,(blank)
NEWPORTBEACH-CA.GOV,City,Non-Federal Agency,City of Newport Beach,Newport Beach,CA,mwojo@newportbeachca.gov
NEWPORTBEACHCA.GOV,City,Non-Federal Agency,City of Newport Beach,Newport Beach,CA,mwojo@newportbeachca.gov
NEWPORTKY.GOV,City,Non-Federal Agency,"City of Newport, Kentucky",Newport,KY,finance@newportky.gov
NEWPORTNC.GOV,City,Non-Federal Agency,"Town of Newport, NC",Newport,NC,manager@townofnewport.com
NEWPORTNEWSVA.GOV,City,Non-Federal Agency,City of Newport News,Newport News,VA,it-security@nnva.gov
NEWPORTNH.GOV,City,Non-Federal Agency,Town of Newport,Newport,NH,(blank)
NEWPORTOREGON.GOV,City,Non-Federal Agency,City of Newport,Newport,OR,(blank)
NEWPRAGUEMN.GOV,City,Non-Federal Agency,City of New Prague,New Prague,MN,ctsselect@yourcts.net
NEWRICHMONDWI.GOV,City,Non-Federal Agency,City of New Richmond,New Richmond ,WI,(blank)
NEWRUSSIATOWNSHIP-OH.GOV,City,Non-Federal Agency,New Russia Township OH,Oberlin,OH,agulishnrt@oberlin.net
NEWSHOREHAMRI.GOV,City,Non-Federal Agency,Town of New Shoreham,New Shoreham,RI,mcrawford@new-shoreham.com
NEWTON-NH.GOV,City,Non-Federal Agency,Town of Newton,Newton,NH,(blank)
NEWTONFALLSOH.GOV,City,Non-Federal Agency,Newton Falls City,Newton Falls,OH,(blank)
NEWTONMA.GOV,City,Non-Federal Agency,"City of Newton, Massachusetts",Newton,MA,helpdesk@newtonma.gov
NEWTONNC.GOV,City,Non-Federal Agency,City of Newton,Newton,NC,(blank)
NEWTOWN-CT.GOV,City,Non-Federal Agency,"Town of Newtown, CT",Newtown,CT,(blank)
NEWTOWNOHIO.GOV,City,Non-Federal Agency,Village of Newtown,Newtown,OH,(blank)
NEWTOWNPA.GOV,City,Non-Federal Agency,Newtown Township,Newtown,PA,(blank)
NEWULMMN.GOV,City,Non-Federal Agency,City of New Ulm,New Ulm,MN,(blank)
NEWWATERFORD-OH.GOV,City,Non-Federal Agency,The Village of New Waterford,New Waterford,OH,nwmayor@yahoo.com
NEWWINDSOR-NY.GOV,City,Non-Federal Agency,Town of New Windsor,New Windsor,NY,jmcdonald@newwindsor-ny.gov
NEWWINDSORMD.GOV,City,Non-Federal Agency,Town of New Windsor,New Windsor,MD,(blank)
NIAGARAFALLSNY.GOV,City,Non-Federal Agency,City of Niagara Falls,Niagara Falls,NY,(blank)
NIAGARAFALLSNYCARTS.GOV,City,Non-Federal Agency,"City of Niagara Falls, NY",Niagara Falls,NY,(blank)
NICHOLSHILLS-OK.GOV,City,Non-Federal Agency,City of Nichols Hills,Nichols Hills,OK,it@nicholshills.net
NILESIL.GOV,City,Non-Federal Agency,Village of Niles,Niles,IL,IT@vniles.com
NILESTWPMI.GOV,City,Non-Federal Agency,Niles Charter Township,Niles,MI,acole@nilestwpmi.gov
NINETYSIXSC.GOV,City,Non-Federal Agency,Town Of Ninety SIX,Ninety SIX,SC,rd@ccm2.com
NINNEKAHOK.GOV,City,Non-Federal Agency,Town of Ninnekah,NINNEKAH,OK,n.dietrich@ninnekahok.gov
NISSEQUOGUENY.GOV,City,Non-Federal Agency,Village of Nissequogue,St. James,NY,(blank)
NIXAMO.GOV,City,Non-Federal Agency,City of Nixa,Nixa,MO,(blank)
NNVA.GOV,City,Non-Federal Agency,City of Newport News,Newport News,VA,it-security@nnva.gov
NOGALESAZ.GOV,City,Non-Federal Agency,City of Nogales,Nogales,AZ,mis@nogalesaz.gov
NOLA.GOV,City,Non-Federal Agency,City of New Orleans,New Orleans,LA,(blank)
NOLA311.GOV,City,Non-Federal Agency,New Orleans 311,New Orleans,LA,karlf@911nola.org
NOLAEOC.GOV,City,Non-Federal Agency,City of New Orleans,New Orleans,LA,RTCCADMIN@nola.gov
NOLAERB.GOV,City,Non-Federal Agency,New Orleans Ethics Review Board,New Orleans,LA,dane@daneciolino.com
NOLAIPM.GOV,City,Non-Federal Agency,Office of Inspector General,New Orleans,LA,POLICEMONITOR@NOLAIPM.GOV
NOLANVILLETX.GOV,City,Non-Federal Agency,City of Nolanville,Nolanville,TX,support@extraco.tech
NOLAOIG.GOV,City,Non-Federal Agency,Office of Inspector General,New Orleans,LA,(blank)
NOLARTCC.GOV,City,Non-Federal Agency,City of New Orleans,New Orleans,LA,RTCCADMIN@nola.gov
NOLENSVILLETN.GOV,City,Non-Federal Agency,Town of Nolensville,Nolensville,TN,(blank)
NORAZPUBLICSERVICE.GOV,City,Non-Federal Agency,City of Flagstaff,Flagstaff,AZ,it-operations@flagstaffaz.gov
NORFOLK.GOV,City,Non-Federal Agency,"City of Norfolk, VA",Norfolk,VA,(blank)
NORFOLKNE.GOV,City,Non-Federal Agency,City of Norfolk Nebraska,Norfolk,NE,(blank)
NORFOLKVA.GOV,City,Non-Federal Agency,"City of Norfolk, VA",Norfolk,VA,(blank)
NORMALIL.GOV,City,Non-Federal Agency,Town of Normal,Normal,IL,nreeder@normal.org
NORMANDYPARKWA.GOV,City,Non-Federal Agency,City of Normandy Park,Normandy Park,WA,(blank)
NORMANOK.GOV,City,Non-Federal Agency,City of Norman,Norman,OK,webteam@normanok.gov
NORMANPARKGA.GOV,City,Non-Federal Agency,City of Norman Park,Norman Park,GA,(blank)
NORRIDGE-IL.GOV,City,Non-Federal Agency,Village of Norridge,Norridge,IL,(blank)
NORTHADAMS-MA.GOV,City,Non-Federal Agency,City of North Adams,North Adams,MA,mpierson@northadams-ma.gov
NORTHAMPTONMA.GOV,City,Non-Federal Agency,City of Northampton,Northampton,MA,(blank)
NORTHANDOVERMA.GOV,City,Non-Federal Agency,Town of North Andover,North Andover,MA,(blank)
NORTHAUGUSTASC.GOV,City,Non-Federal Agency,City of North Augusta,North Augusta,SC,nasecurity@northaugustasc.gov
NORTHBAYVILLAGE-FL.GOV,City,Non-Federal Agency,North Bay Village,North Bay Village,FL,actionteam@nbvillage.com
NORTHBENDWA.GOV,City,Non-Federal Agency,City of North Bend,North Bend,WA,it@northbendwa.gov
NORTHBOROUGH-MA.GOV,City,Non-Federal Agency,Town of Northborough,Northborough,MA,(blank)
NORTHBROOKIL.GOV,City,Non-Federal Agency,Village of Northbrook,Northbrook,IL,ITAlerts@northbrook.il.us
NORTHBRUNSWICKNJ.GOV,City,Non-Federal Agency,Township of North Brunswick,North Brunswick,NJ,ithelpdesk@northbrunswicknj.gov
NORTHCANTONOHIO.GOV,City,Non-Federal Agency,City of North Canton,North Canton,OH,abricker@atnetplus.com
NORTHCHARLESTONSC.GOV,City,Non-Federal Agency,City of North Charleston,North Charleston,SC,mis@northcharleston.org
NORTHFAYETTEPA.GOV,City,Non-Federal Agency,North Fayette Township,Oakdale,PA,security@north-fayette.com
NORTHFAYETTEPAPOLICE.GOV,City,Non-Federal Agency,North Fayette Township,Oakdale,PA,security@north-fayette.com
NORTHFIELD-VT.GOV,City,Non-Federal Agency,"Municipality of Northfield, Vermont",Northfield,VT,(blank)
NORTHFIELDMA.GOV,City,Non-Federal Agency,Town of Northfield,Northfield,MA,(blank)
NORTHFIELDMI.GOV,City,Non-Federal Agency,Northfield Township,Whitmore Lake,MI,(blank)
NORTHFIELDMN.GOV,City,Non-Federal Agency,City of Northfield,Northfield,MN,it@ci.northfield.mn.us
